id;fachbezeichnung
1;Deutsch
2;Englisch
3;Franzoesisch
4;Latein
5;Russisch
6;Spanisch
7;Mathematik
8;Informatik
9;Naturwissenschaften
10;Technik
11;Gesellschaftswissenschaften
12;Musik
13;Sport
14;Biologie
15;Geschichte
16;Physik
17;Chemie
18;Erdkunde
